0
All of above. Redundancy is better. 
Both Twitter and Email list would be best
Confocal Listserv
Dedicated website to aggregate information like microlist
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Email list
Mutliple forums
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
My local microscopy facility
