0
 ImageJ as embedded in Micromanager
2D fiji/CellProfiler 3D: Amira
70 / 30 our own software and open source point and click
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
"Computational libraries and scripts (scikit-image, MATLAB, etc)"
Ilastik
Image processing software for electron micrographs
KNIME with FIJI 
MetaMorph (have been using since 1992)
Open source non-point-and-click software
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)"
