2D,,,,,,,
3D,volume,,,,,,
4D,,,,,,,
cell,,,,,,,
nuclei,nucleus,nuclear,nuceli,nucleus,nuclie,,
co-localization,colocalisation,colocalization,colocization,localisation,localisations,localization,localizing
count,,,,,,,
data,,,,,,,
aalysis,analyse,analysing,analysis,analyze,analyzing,,
detecting,detection,,,,,,
find,,,,,,,
fluorescence,fluorescent,fluorescente,fluorescently,fluoresecent,,,
image,,,,,,,
intensities,intensity,intensity-based,,,,,
none,,,,,,,
object,,,,,,,
quantification,quantify,quantitation,quantitative,,,,
segmenration,segment,segmetation,sgmentation,,,,
tissue,,,,,,,
tracing,track,,,,,,
