Cell/Molecular Biology,"molecular""",,,
Physics/Biophysics,optical engineering,,,
Chemistry/Biochemistry,,,,
Developmental Biology,development,"development""",,
Medicine,"medicine""",,,
Statistics/Biostatistics,,,,
Computer science,,,,
Computer vision,,,,
Deep learning,"learning""",,,
biomedical engineering,"engineering""",,,
math,mathematical,mathematics,"math""","mathematics"""
genetics,genomics,,,
microscopes,microscopy,"microscopy""",Optical microscopy,
pathology,,,,
immunology,,,,
